Data,Hora,Telefone,Status,Observacao,Tamanho_Msg
08/02/2026,21:31:09,5561984385187,✅ Sucesso,Mensagem enviada com sucesso,240
08/02/2026,21:34:16,5561984385187,✅ Sucesso,Mensagem enviada com sucesso,240
